journal,domain,tier,issn,total_dois,article_count_2024plus
Glass and Ceramics,stem,T2,0361-7610;1573-8515,12241,189
Macromolecular Chemistry and Physics,stem,T2,1022-1352;1521-3935,11960,1521
Polymer Chemistry,stem,T2,1759-9954;1759-9962,11678,1011
Arabian Journal for Science and Engineering,stem,T2,1319-8025;2191-4281;2193-567X,11036,20964
Accounts of Chemical Research,stem,T2,0001-4842;1520-4898,9010,659
TrAC Trends in Analytical Chemistry,stem,T2,0165-9936;0165-9936;0167-2940,8998,1138
Physical Review Applied,stem,T2,2331-7019,8631,2226
Journal of Materials in Civil Engineering,stem,T2,0899-1561;1943-5533,8078,9360
Journal of Engineering for Gas Turbines and Power,stem,T2,0742-4795;1528-8919,7748,4194
Fibre Chemistry,stem,T2,0015-0541;1573-8493,7353,179
ACS Biomaterials Science & Engineering,stem,T2,,7032,7032
Journal of the Brazilian Society of Mechanical Sciences and Engineering,stem,T2,1678-5878;1678-5878;1806-3691,6844,10170
Precision Engineering,stem,T2,0141-6359,6378,3435
Journal of Electrical Engineering & Technology,stem,T2,,5850,5850
Low Temperature Physics,stem,T2,1063-777X;1090-6517,5826,844
Advances in Civil Engineering,stem,T2,1687-8086;1687-8094,5796,3443
Computers & Chemical Engineering,stem,T2,,5538,5538
Chinese Journal of Organic Chemistry,stem,T2,0253-2786,5314,694
Journal of Solution Chemistry,stem,T2,0095-9782;1572-8927,5301,226
Advanced Engineering Informatics,stem,T3,1474-0346,4262,12708
Materials & Design,stem,T3,,3874,3874
Structural Concrete,stem,T3,1464-4177;1751-7648,3806,997
Ain Shams Engineering Journal,stem,T3,2090-4479,3795,8982
IEEJ Transactions on Electrical and Electronic Engineering,stem,T3,1931-4973;1931-4981,3740,2156
Physics of Metals and Metallography,stem,T3,0031-918X;1555-6190,3524,806
Russian Journal of Coordination Chemistry,stem,T3,1070-3284;1608-3318,3271,225
Physics and Chemistry of Liquids,stem,T3,0031-9104;1029-0451,2860,232
Beilstein Journal of Nanotechnology,stem,T3,2190-4286;2190-4286,2694,321
Communications Physics,stem,T3,2399-3650,2589,2158
Glass Physics and Chemistry,stem,T3,1087-6596;1608-313X,2490,349
Materials Today Energy,stem,T3,2468-6069,2223,741
Ukrainian Journal of Physics,stem,T3,2071-0186;2071-0194,2152,206
Physics of Particles and Nuclei,stem,T3,1063-7796;1531-8559,2142,1011
Bulletin of the Lebedev Physics Institute,stem,T3,1068-3356;1934-838X,2040,962
"Sustainable Energy, Grids and Networks",stem,T3,2352-4677,1963,991
Physics of the Dark Universe,stem,T3,2212-6864,1945,1812
Chemistry Africa,stem,T3,2522-5758;2522-5766,1634,795
ACS Applied Engineering Materials,stem,T3,2771-9545;2771-9545,1193,5404
European Journal of Theoretical and Applied Sciences,stem,T3,2786-7447,1176,698
Radiological Physics and Technology,stem,T3,1865-0333;1865-0341,1036,268
"Mining, Metallurgy & Exploration",stem,T3,,604,604
Discover Civil Engineering,stem,T3,2948-1546,452,431
From Chemistry Towards Technology Step-By-Step,stem,T3,2782-1900,336,130
Mining Technology: Transactions of the Institutions of Mining and Metallurgy,stem,T3,2572-6668;2572-6676,173,50
