journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
"Circuits, Systems, and Signal Processing",cs_ai,T2,0278-081X;1531-5878,5493,1014,Circuits Systems and Signal Processing
The Visual Computer,cs_ai,T2,0178-2789;1432-2315,5491,76,The Visual Computer
Information and Software Technology,cs_ai,T2,0950-5849,5320,1134,Information and Software Technology
"Journal of Circuits, Systems and Computers",cs_ai,T2,0218-1266;1793-6454,5053,995,Journal of Circuits Systems and Computers
Journal of Ambient Intelligence and Humanized Computing,cs_ai,T2,1868-5137;1868-5145,4960,514,Journal of Ambient Intelligence and Humanized Computing
Science China Information Sciences,cs_ai,T2,1674-733X;1869-1919,4946,913,Science China Information Sciences
International Journal of Human–Computer Interaction,cs_ai,T2,1044-7318;1532-7590,4888,2051,International Journal of Human-Computer Interaction
Artificial Intelligence,cs_ai,T2,0004-3702,4800,742,Artificial Intelligence
Wireless Networks,cs_ai,T2,1022-0038;1572-8196,4773,491,Wireless Networks
Computational Mechanics,cs_ai,T2,0178-7675;1432-0924,4523,334,Computational Mechanics
Algorithms,cs_ai,T2,1999-4893,4485,860,Algorithms
IEEE Network,cs_ai,T2,0890-8044;1558-156X,4244,148,IEEE Network
IEEE Transactions on Transportation Electrification,cs_ai,T2,2332-7782,4197,235,IEEE Transactions on Transportation Electrification
"International Journal of Control, Automation and Systems",cs_ai,T2,1598-6446;2005-4092,4165,629,International Journal of Control Automation and Systems
International Journal of Pattern Recognition and Artificial Intelligence,cs_ai,T2,0218-0014;0218-0014;1793-6381,4051,1473,International Journal of Pattern Recognition and Artificial Intelligence
International Journal of Intelligent Systems,cs_ai,T2,0884-8173;1098-111X,4003,347,International Journal of Intelligent Systems
Neural Computation,cs_ai,T2,0899-7667;1530-888X,3758,149,Neural Computation
PeerJ Computer Science,cs_ai,T2,2376-5992,3618,3510,PeerJ Computer Science
Ad Hoc Networks,cs_ai,T2,1570-8705,3524,650,Ad Hoc Networks
Journal of Open Source Software,cs_ai,T2,2475-9066,3507,1410,The Journal of Open Source Software
Expert Systems,cs_ai,T2,0266-4720;1468-0394,3375,497,Expert Systems
